Number of clusters,ari,sil,dbs,ch,dataset,clusteringAlg,affinity,linkage
2,0.089,0.384,1.021,579.209,vehi,km,None,None
3,0.074,0.256,1.501,420.636,vehi,km,None,None
4,0.081,0.236,1.553,353.351,vehi,km,None,None
5,0.109,0.205,1.547,298.681,vehi,km,None,None
6,0.084,0.177,1.709,265.53,vehi,km,None,None
2,0.089,0.384,1.021,579.209,vehi,bkm,None,None
3,0.087,0.257,1.532,413.304,vehi,bkm,None,None
4,0.06,0.182,1.714,318.939,vehi,bkm,None,None
5,0.077,0.168,1.804,267.127,vehi,bkm,None,None
6,0.115,0.16,1.778,246.268,vehi,bkm,None,None
2,0.088,0.385,1.018,578.71,vehi,kmed,None,None
3,0.078,0.293,1.331,449.83,vehi,kmed,None,None
4,0.081,0.24,1.54,348.856,vehi,kmed,None,None
5,0.092,0.219,1.579,300.992,vehi,kmed,None,None
6,0.092,0.173,1.711,256.673,vehi,kmed,None,None
3,0.001,0.563,0.918,42.138,vehi,ms,None,None
2,0.082,0.372,1.1,558.384,vehi,agg,euclidean,ward
3,0.085,0.254,1.393,398.558,vehi,agg,euclidean,ward
4,0.092,0.273,1.156,377.912,vehi,agg,euclidean,ward
5,0.071,0.205,1.323,351.11,vehi,agg,euclidean,ward
6,0.1,0.19,1.323,322.2,vehi,agg,euclidean,ward
2,0.001,0.618,0.585,80.936,vehi,agg,euclidean,complete
3,0.066,0.386,0.836,388.327,vehi,agg,euclidean,complete
4,0.077,0.203,1.202,326.747,vehi,agg,euclidean,complete
5,0.087,0.192,1.167,276.842,vehi,agg,euclidean,complete
6,0.087,0.189,1.277,223.948,vehi,agg,euclidean,complete
2,0.001,0.618,0.585,80.936,vehi,agg,euclidean,average
3,0.001,0.6,0.557,41.675,vehi,agg,euclidean,average
4,0.074,0.396,0.746,276.998,vehi,agg,euclidean,average
5,0.074,0.396,0.921,209.364,vehi,agg,euclidean,average
6,0.075,0.277,0.929,169.174,vehi,agg,euclidean,average
2,0.001,0.618,0.585,80.936,vehi,agg,euclidean,single
3,0.001,0.539,0.822,42.089,vehi,agg,euclidean,single
4,0.001,0.539,0.793,28.509,vehi,agg,euclidean,single
5,0.001,0.539,0.608,21.704,vehi,agg,euclidean,single
6,0.001,0.539,0.504,17.473,vehi,agg,euclidean,single
2,0.088,0.315,1.244,451.598,vehi,agg,cosine,complete
3,0.105,0.161,1.464,315.108,vehi,agg,cosine,complete
4,0.111,0.175,1.576,276.381,vehi,agg,cosine,complete
5,0.1,0.17,1.579,244.743,vehi,agg,cosine,complete
6,0.103,0.117,1.573,201.173,vehi,agg,cosine,complete
2,0.084,0.383,1.016,571.196,vehi,agg,cosine,average
3,0.095,0.279,1.396,429.868,vehi,agg,cosine,average
4,0.09,0.291,1.211,383.239,vehi,agg,cosine,average
5,0.091,0.177,1.268,297.891,vehi,agg,cosine,average
6,0.092,0.134,1.176,239.169,vehi,agg,cosine,average
2,0.001,0.523,0.974,66.179,vehi,agg,cosine,single
3,0.001,-0.198,1.631,33.174,vehi,agg,cosine,single
4,0.001,-0.235,1.82,22.157,vehi,agg,cosine,single
5,0.001,-0.289,2.077,16.633,vehi,agg,cosine,single
6,0.001,-0.313,2.136,13.323,vehi,agg,cosine,single
